,Dataset,Subtype,Mo,SurvProb,LowCI,HighCI
0,ADNI,H,24,0.5585975922517578,0.46183956906692925,0.64471462386584
1,ADNI,IH,24,0.744241504109926,0.639386393224505,0.8227573198922752
2,ADNI,IL,24,0.8281338627339758,0.7264967938992654,0.8946706373382866
3,ADNI,L,24,0.9550075746966943,0.9117124119726011,0.9773321789995358
4,ADNI,H,48,0.41178668659584705,0.3121962599073083,0.5085317804091911
5,ADNI,IH,48,0.5864388183272493,0.46458683221268293,0.6896744309494791
6,ADNI,IL,48,0.774125132555673,0.6585237143023203,0.8547866359914695
7,ADNI,L,48,0.888239566724969,0.8251341247632114,0.9295319752874689
8,ADNI,H,96,0.13645952577250292,0.01596675311009427,0.3833354692265583
9,ADNI,IH,96,0.37978894901193294,0.19014826177369445,0.5685581468339201
10,ADNI,IL,96,0.6922071291106284,0.5255022216377252,0.8103144427018278
11,ADNI,L,96,0.7540778782189964,0.6361718893806213,0.8384917662784557
12,NACC,H,24,0.6696764670268223,0.5575611230186102,0.7594173951569286
13,NACC,IH,24,0.7899442883820332,0.6847382569903959,0.8634612318007642
14,NACC,IL,24,0.876804108301889,0.7666738272277603,0.9370156084351423
15,NACC,L,24,0.8948922076662229,0.7981731627907602,0.9467626556728954
16,NACC,H,48,0.29350467486180143,0.18172316618446568,0.4142727662448843
17,NACC,IH,48,0.6153775544822409,0.4605322354428642,0.7378458655791735
18,NACC,IL,48,0.5388595969027848,0.35820254251455463,0.6890998847958183
19,NACC,L,48,0.7216758623768739,0.5656276165716645,0.8296815551023182
20,NACC,H,96,0.09224432638513758,0.02077239825888766,0.23080453772277895
21,NACC,IH,96,0.4195756053288008,0.23336354519880162,0.5954895187236475
22,NACC,IL,96,0.15072995717560414,0.010857345733717204,0.4530861531214342
23,NACC,L,96,0.4662297679680971,0.2508980223362015,0.6563114522184137
