contrast	Subtype	estimate	SE	df	z.ratio	p.value
BG - Cing	H	0.19416577784288272	0.055554984516174286	Inf	3.4950199254641725	0.016924145088004994
BG - FL	H	0.12332192448293632	0.055554984516174286	Inf	2.2198174575502287	0.618758707352467
BG - Ins	H	0.29442183470543876	0.05555498451617426	Inf	5.29964749823161	4.1769444744099715e-6
BG - OL	H	0.284029008658102	0.055554984516174306	Inf	5.112574706512782	1.1440637028181655e-5
BG - PL	H	0.213534550852259	0.05555498451617428	Inf	3.8436614232173993	0.0043543959171150615
BG - SC	H	0.07858133849371449	0.0555549845161743	Inf	1.4144786319009104	0.9978831715573532
BG - (TL-M)	H	0.6947484356922579	0.05555498451617427	Inf	12.505600383886145	0
BG - (TL-O)	H	0.49886052754900395	0.05555498451617428	Inf	8.979581794389047	0
Cing - FL	H	-0.0708438533599464	0.05555498451618539	Inf	-1.2752024679136893	0.9997066078323871
Cing - Ins	H	0.10025605686255604	0.05555498451618537	Inf	1.804627572767075	0.9298015455098342
Cing - OL	H	0.08986323081521927	0.05555498451618539	Inf	1.6175547810482878	0.9821198098222567
Cing - PL	H	0.019368773009376283	0.05555498451618539	Inf	0.34864149775315634	1
Cing - SC	H	-0.11558443934916823	0.0555549845161854	Inf	-2.080541293562846	0.7471762634494614
Cing - (TL-M)	H	0.5005826578493752	0.05555498451618539	Inf	9.01058045842017	0
Cing - (TL-O)	H	0.3046947497061212	0.05555498451618539	Inf	5.484561868923777	1.4921823784375121e-6
FL - Ins	H	0.17109991022250243	0.05555498451618537	Inf	3.079830040680765	0.07192253418913386
FL - OL	H	0.16070708417516566	0.055554984516185395	Inf	2.8927572489619764	0.1286736058397303
FL - PL	H	0.09021262636932269	0.05555498451618539	Inf	1.6238439656668457	0.9811223491125112
FL - SC	H	-0.04474058598922183	0.0555549845161854	Inf	-0.8053388256491566	0.9999999970719863
FL - (TL-M)	H	0.5714265112093215	0.055554984516185395	Inf	10.285782926333857	0
FL - (TL-O)	H	0.3755386030660676	0.055554984516185395	Inf	6.759764336837465	4.975779788196633e-10
Ins - OL	H	-0.010392826047336767	0.05555498451618538	Inf	-0.18707279171878669	1
Ins - PL	H	-0.08088728385317975	0.05555498451618537	Inf	-1.4559860750139186	0.996504344853016
Ins - SC	H	-0.21584049621172427	0.05555498451618538	Inf	-3.885168866329921	0.0036747360773632387
Ins - (TL-M)	H	0.4003266009868191	0.05555498451618538	Inf	7.205952885653096	2.0751400597873726e-11
Ins - (TL-O)	H	0.2044386928435652	0.055554984516185374	Inf	3.679934296156704	0.008364388031919523
OL - PL	H	-0.07049445780584299	0.05555498451618539	Inf	-1.2689132832951313	0.9997347856400377
OL - SC	H	-0.2054476701643875	0.0555549845161854	Inf	-3.698096074611133	0.007790362421743469
OL - (TL-M)	H	0.41071942703415587	0.055554984516185395	Inf	7.393025677371881	5.167866135025179e-12
OL - (TL-O)	H	0.21483151889090196	0.055554984516185395	Inf	3.8670070878754887	0.003958813846467235
PL - SC	H	-0.13495321235854452	0.055554984516185395	Inf	-2.429182791316002	0.42244324873137307
PL - (TL-M)	H	0.48121388483999883	0.055554984516185395	Inf	8.661938960667012	0
PL - (TL-O)	H	0.285325976696745	0.055554984516185395	Inf	5.135920371170621	1.0107545406312646e-5
SC - (TL-M)	H	0.6161670971985433	0.055554984516185395	Inf	11.091121751983014	0
SC - (TL-O)	H	0.4202791890552895	0.055554984516185395	Inf	7.565103162486623	1.3948842081390467e-12
(TL-M) - (TL-O)	H	-0.1958879081432539	0.0555549845161854	Inf	-3.5260185894963914	0.015075281929570195
BG - Cing	IH	0.4827792054921083	0.06420480271237057	Inf	7.519362806157949	1.9824142327706795e-12
BG - FL	IH	0.4585024308189184	0.06420480271237058	Inf	7.141248184702809	3.3297364865347845e-11
BG - Ins	IH	0.2987784252397336	0.06420480271237056	Inf	4.653521428579468	1.174662147267469e-4
BG - OL	IH	0.2746290761569992	0.06420480271237058	Inf	4.27739148093489	6.805206955742271e-4
BG - PL	IH	0.2649653057881581	0.06420480271237057	Inf	4.1268767225275855	0.0013229526643429024
BG - SC	IH	0.13448904463611397	0.06420480271237058	Inf	2.0946882313244997	0.7348143507299507
BG - (TL-M)	IH	0.10595849872603569	0.06420480271237058	Inf	1.6503204472213144	0.9764375995743306
BG - (TL-O)	IH	0.36739626743338205	0.06420480271237058	Inf	5.722255219430718	3.784291783270888e-7
Cing - FL	IH	-0.024276774673189935	0.06420480271237011	Inf	-0.3781146214551426	1
Cing - Ins	IH	-0.18400078025237476	0.06420480271237007	Inf	-2.8658413775785045	0.13932399873580692
Cing - OL	IH	-0.20815012933510912	0.06420480271237008	Inf	-3.2419713252230844	0.04185823491185203
Cing - PL	IH	-0.2178138997039502	0.0642048027123701	Inf	-3.3924860836303887	0.02463426053310447
Cing - SC	IH	-0.34829016085599435	0.06420480271237011	Inf	-5.424674574833489	2.0901658229766085e-6
Cing - (TL-M)	IH	-0.3768207067660726	0.0642048027123701	Inf	-5.869042358936678	1.577949889641772e-7
Cing - (TL-O)	IH	-0.11538293805872626	0.06420480271237011	Inf	-1.797107586727244	0.9329560563204693
FL - Ins	IH	-0.1597240055791848	0.06420480271237008	Inf	-2.487726756123361	0.37238334642644
FL - OL	IH	-0.18387335466191917	0.06420480271237011	Inf	-2.86385670376794	0.14013716020717015
FL - PL	IH	-0.1935371250307603	0.06420480271237011	Inf	-3.0143714621752458	0.08864611283434154
FL - SC	IH	-0.3240133861828044	0.06420480271237011	Inf	-5.046559953378345	1.6193960633237303e-5
FL - (TL-M)	IH	-0.3525439320928827	0.06420480271237011	Inf	-5.490927737481535	1.4393795356726358e-6
FL - (TL-O)	IH	-0.09110616338553633	0.06420480271237011	Inf	-1.4189929652721014	0.9977604505994812
Ins - OL	IH	-0.024149349082734358	0.06420480271237008	Inf	-0.37612994764458013	1
Ins - PL	IH	-0.03381311945157545	0.06420480271237008	Inf	-0.5266447060518856	0.9999999999999946
Ins - SC	IH	-0.16428938060361958	0.06420480271237008	Inf	-2.5588331972549865	0.31619757646978264
Ins - (TL-M)	IH	-0.19281992651369786	0.0642048027123701	Inf	-3.0032009813581744	0.09181287517740722
Ins - (TL-O)	IH	0.0686178421936485	0.0642048027123701	Inf	1.068733790851259	0.9999943653082634
