Cortex	Subtype	lsmean	SE	df	asymp.LCL	asymp.UCL
BG	H	-0.047774354634775335	0.05223755181419467	Inf	-0.15015807483114182	0.054609365561591156
Cing	H	-0.24194013247765805	0.05223755181422606	Inf	-0.34432385267408605	-0.13955641228123003
FL	H	-0.17109627911771164	0.05223755181422607	Inf	-0.2734799993141397	-0.0687125589212836
Ins	H	-0.3421961893402141	0.0522375518142261	Inf	-0.4445799095366422	-0.239812469143786
OL	H	-0.3318033632928773	0.052237551814226145	Inf	-0.43418708348930546	-0.22941964309644913
PL	H	-0.26130890548703434	0.052237551814226124	Inf	-0.3636926256834625	-0.1589251852906062
SC	H	-0.12635569312848982	0.052237551814226076	Inf	-0.22873941332491787	-0.02397197293206177
TL-M	H	-0.7425227903270332	0.052237551814226124	Inf	-0.8449065105234613	-0.640139070130605
TL-O	H	-0.5466348821837793	0.05223755181422613	Inf	-0.6490186023802075	-0.44425116198735115
BG	IH	0.028204007876579035	0.05894762241278325	Inf	-0.0873312090267422	0.14373922477990025
Cing	IH	-0.4545751976155293	0.05894762241278292	Inf	-0.5701104145188498	-0.3390399807122087
FL	IH	-0.43029842294233933	0.05894762241278292	Inf	-0.5458336398456599	-0.31476320603901875
Ins	IH	-0.2705744173631545	0.05894762241278296	Inf	-0.38610963426647515	-0.15503920045983388
OL	IH	-0.24642506828042016	0.05894762241278299	Inf	-0.3619602851837409	-0.13088985137709944
PL	IH	-0.23676129791157907	0.05894762241278297	Inf	-0.35229651481489976	-0.1212260810082584
SC	IH	-0.10628503675953493	0.058947622412782945	Inf	-0.22182025366285557	0.009250180143785688
TL-M	IH	-0.07775449084945665	0.058947622412782986	Inf	-0.19328970775277737	0.03778072605386405
TL-O	IH	-0.339192259556803	0.058947622412783014	Inf	-0.45472747646012374	-0.22365704265348224
BG	IL	0.3078644503387299	0.06672240278917849	Inf	0.17709094390996524	0.4386379567674945
Cing	IL	0.4847204764829402	0.06672240278917785	Inf	0.3539469700541768	0.6154939829117037
FL	IL	0.28962617907385946	0.06672240278917783	Inf	0.1588526726450961	0.42039968550262286
Ins	IL	0.16552340738171353	0.06672240278917786	Inf	0.03474990095295011	0.29629691381047696
OL	IL	-0.15504900703289629	0.0667224027891779	Inf	-0.28582251346165977	-0.024275500604132777
PL	IL	0.3396429890231131	0.06672240278917789	Inf	0.2088694825943496	0.4704164954518766
SC	IL	0.04872565947836466	0.06672240278917785	Inf	-0.08204784695039874	0.17949916590712806
TL-M	IL	-0.041238388587474	0.0667224027891779	Inf	-0.1720118950162375	0.08953511784128951
TL-O	IL	0.061587443524026037	0.0667224027891779	Inf	-0.06918606290473747	0.19236094995278955
BG	L	-0.07253992265428329	0.046544915293130026	Inf	-0.16376628029228568	0.018686434983719122
Cing	L	0.2211878812365563	0.04654491529312938	Inf	0.12996152359855517	0.31241423887455744
FL	L	0.2502927889832459	0.046544915293129416	Inf	0.15906643134524473	0.3415191466212471
Ins	L	0.3456402899498703	0.04654491529312947	Inf	0.254413932311869	0.4368666475878716
OL	L	0.46057009242755226	0.04654491529312952	Inf	0.36934373478955085	0.5517964500655537
PL	L	0.18337182304754995	0.04654491529312948	Inf	0.09214546540954863	0.2745981806855513
SC	L	0.16596580336262978	0.046544915293129444	Inf	0.07473944572462853	0.257192161000631
TL-M	L	0.595514770393958	0.04654491529312952	Inf	0.5042884127559566	0.6867411280319593
TL-O	L	0.5521345913586424	0.0465449152931295	Inf	0.46090823372064105	0.6433609489966438
