contrast	Cortex	estimate	SE	df	z.ratio	p.value
H - IH	BG	-0.07597836251135437	0.07285339893432045	Inf	-1.0428938611340723	0.8792905168348157
H - IL	BG	-0.35563880497350525	0.08160118481381459	Inf	-4.358255407503565	7.865942163165496e-5
H - L	BG	0.024765568019507956	0.06901532563723065	Inf	0.35884157309761433	0.9995151447997676
IH - IL	BG	-0.2796604424621509	0.08731312635504902	Inf	-3.2029599000377456	0.008133672123376345
IH - L	BG	0.10074393053086232	0.07331877348027385	Inf	1.3740536802346688	0.6716983443828187
IL - L	BG	0.3804043729930132	0.08094313801899819	Inf	4.699649436666618	1.5636405985008928e-5
H - IH	Cing	0.21263506513787123	0.07285339893433412	Inf	2.9186704841256383	0.020907164747958062
H - IL	Cing	-0.7266606089605983	0.08160118481382929	Inf	-8.9050252225927	0
H - L	Cing	-0.46312801371421436	0.06901532563726571	Inf	-6.71050972284542	1.1636758223687593e-10
IH - IL	Cing	-0.9392956740984695	0.08731312635504779	Inf	-10.757783088409209	0
IH - L	Cing	-0.6757630788520856	0.07331877348027462	Inf	-9.216781006762071	0
IL - L	Cing	0.2635325952463839	0.08094313801899795	Inf	3.255774383055557	0.0067658613956309566
H - IH	FL	0.2592021438246277	0.07285339893433412	Inf	3.557859312209409	0.002241240937243316
H - IL	FL	-0.46072245819157115	0.08160118481382928	Inf	-5.646026577220613	9.851907956104355e-8
H - L	FL	-0.42138906810095755	0.06901532563726573	Inf	-6.105731795220612	6.139843300445591e-9
IH - IL	FL	-0.7199246020161988	0.08731312635504777	Inf	-8.245319255763636	6.661338147750939e-16
IH - L	FL	-0.6805912119255852	0.07331877348027464	Inf	-9.282632259371994	0
IL - L	FL	0.03933339009061357	0.08094313801899795	Inf	0.48593853726528036	0.9973073622409859
H - IH	Ins	-0.07162177197705957	0.07285339893433412	Inf	-0.9830944475441061	0.9058855688363482
H - IL	Ins	-0.5077195967219277	0.08160118481382926	Inf	-6.221963539871084	2.9458269157345285e-9
H - L	Ins	-0.6878364792900844	0.06901532563726573	Inf	-9.966430976581208	0
IH - IL	Ins	-0.4360978247448681	0.08731312635504777	Inf	-4.994642191272954	3.536691738248443e-6
IH - L	Ins	-0.6162147073130247	0.07331877348027463	Inf	-8.4045965045884	0
IL - L	Ins	-0.18011688256815672	0.08094313801899795	Inf	-2.2252273259517312	0.14655170749854896
H - IH	OL	-0.08537829501245717	0.07285339893433412	Inf	-1.1719191727679346	0.8091629929796444
H - IL	OL	-0.17675435625998104	0.08160118481382928	Inf	-2.166075856168522	0.16860025406600432
H - L	OL	-0.7923734557204296	0.06901532563726574	Inf	-11.48112319117389	0
IH - IL	OL	-0.09137606124752387	0.08731312635504779	Inf	-1.0465329219338073	0.877546848679572
IH - L	OL	-0.7069951607079724	0.07331877348027466	Inf	-9.64275760693377	0
IL - L	OL	-0.6156190994604486	0.08094313801899797	Inf	-7.6055749076093155	1.6986412276764895e-13
H - IH	PL	-0.024547607575455273	0.07285339893433412	Inf	-0.3369452617794961	0.9996626645680936
H - IL	PL	-0.6009518945101474	0.08160118481382926	Inf	-7.36449961947491	1.0671463712697005e-12
H - L	PL	-0.4446807285345843	0.06901532563726573	Inf	-6.443217132260738	7.018032821548559e-10
IH - IL	PL	-0.5764042869346921	0.08731312635504776	Inf	-6.60157654406758	2.440847524098899e-10
IH - L	PL	-0.420133120959129	0.07331877348027464	Inf	-5.730225711865731	6.01782501608028e-8
IL - L	PL	0.1562711659755631	0.08094313801899795	Inf	1.9306289550929578	0.2811405349451286
H - IH	SC	-0.020070656368954894	0.07285339893433414	Inf	-0.2754937540669232	0.9998954038446665
H - IL	SC	-0.17508135260685448	0.08160118481382926	Inf	-2.145573658106773	0.17680550932614536
H - L	SC	-0.2923214964911196	0.06901532563726574	Inf	-4.23560265480044	1.367559300814447e-4
IH - IL	SC	-0.1550106962378996	0.08731312635504777	Inf	-1.7753424108027953	0.37701276252240246
IH - L	SC	-0.2722508401221647	0.07331877348027466	Inf	-3.713248697421402	0.0012270659723938593
IL - L	SC	-0.11724014388426514	0.08094313801899795	Inf	-1.4484259784535165	0.6161402460445536
H - IH	TL-M	-0.6647682994775765	0.07285339893433414	Inf	-9.124739671744903	0
H - IL	TL-M	-0.7012844017395592	0.08160118481382928	Inf	-8.594046806299676	0
H - L	TL-M	-1.3380375607209911	0.06901532563726574	Inf	-19.387542525750252	0
IH - IL	TL-M	-0.03651610226198265	0.0873131263550478	Inf	-0.41822007510639964	0.998838581277681
IH - L	TL-M	-0.6732692612434147	0.07331877348027466	Inf	-9.182767649878212	0
IL - L	TL-M	-0.636753158981432	0.08094313801899798	Inf	-7.8666725131410296	2.19824158875781e-14
H - IH	TL-O	-0.20744262262697627	0.07285339893433415	Inf	-2.847398002857122	0.026157203656793193
H - IL	TL-O	-0.6082223257078053	0.08160118481382928	Inf	-7.453596747344378	5.448974604860268e-13
H - L	TL-O	-1.0987694735424216	0.06901532563726574	Inf	-15.92065912022773	0
IH - IL	TL-O	-0.40077970308082905	0.0873131263550478	Inf	-4.590142625876309	2.6576299930303193e-5
IH - L	TL-O	-0.8913268509154454	0.07331877348027467	Inf	-12.156870725002562	0
IL - L	TL-O	-0.49054714783461634	0.08094313801899798	Inf	-6.060392021365432	8.147410746062178e-9
