Dataset,Subtype,Region,ZS Gray Matter Volume,Cortical Region,Time
ADNI,0,Accumbens,-0.46585300799834467,BG,MCI
ADNI,0,Amygdala,-0.8827101787185806,TL-M,MCI
ADNI,0,Angular Gyrus,-0.6273719519742352,PL,MCI
ADNI,0,Anterior Cingulate Gyrus,-0.29332382414319624,Cing,MCI
ADNI,0,Anterior Insula,-0.41133328724856427,Ins,MCI
ADNI,0,Anterior Orbital Gyrus,-0.27595104885349586,FL,MCI
ADNI,0,Basal Forebrain,-0.6209670104649436,SC,MCI
ADNI,0,Calcarine Cortex,0.021855792761084434,OL,MCI
ADNI,0,Caudate,-0.12296961099980017,BG,MCI
ADNI,0,Central Operculum,-0.5209364086793639,FL,MCI
ADNI,0,Cerebral White Matter,0.2009901437010424,SC,MCI
ADNI,0,Cuneus,-0.31297130331946227,OL,MCI
ADNI,0,Entorhinal Area,-0.8736897377097358,TL-M,MCI
ADNI,0,Frontal Operculum,-0.35988733536986,FL,MCI
ADNI,0,Frontal Pole,-0.2685030357149741,FL,MCI
ADNI,0,Fusiform Gyrus,-0.854242762357995,TL-O,MCI
ADNI,0,Gyrus Rectus,-0.4317084619265891,FL,MCI
ADNI,0,Hippocampus,-0.8081410310049034,TL-M,MCI
ADNI,0,Inferior Occipital Gyrus,-0.6286102378424046,OL,MCI
ADNI,0,Inferior Temporal Gyrus,-0.8455847678558942,TL-O,MCI
ADNI,0,Lateral Orbital Gyrus,-0.2377764575817112,FL,MCI
ADNI,0,Lingual Gyrus,-0.5263367228916573,OL,MCI
ADNI,0,Medial Frontal Cortex,-0.524419242763917,FL,MCI
ADNI,0,Medial Orbital Gyrus,-0.361516874771088,FL,MCI
ADNI,0,Middle Cingulate Gyrus,-0.2546161568546073,Cing,MCI
ADNI,0,Middle Frontal Gyrus,-0.2404563189096179,FL,MCI
ADNI,0,Middle Occipital Gyrus,-0.6817017335950728,OL,MCI
ADNI,0,Middle Temporal Gyrus,-0.8142936404168497,TL-O,MCI
ADNI,0,Occipital Fusiform Gyrus,-0.6347422088336288,OL,MCI
ADNI,0,Occipital Pole,-0.26865318496369217,OL,MCI
ADNI,0,Opercular Part of the Inferior Frontal Gyrus,-0.1690257231880607,FL,MCI
ADNI,0,Orbital Part of the Inferior Frontal Gyrus,-0.28358909424751233,FL,MCI
ADNI,0,Pallidum,0.08528241069554221,BG,MCI
ADNI,0,Parahippocampus Gyrus,-0.8286265884499978,TL-M,MCI
ADNI,0,Parietal Operculum,-0.2595427971430272,FL,MCI
ADNI,0,Planum Polare,-0.6181489378681262,TL-O,MCI
ADNI,0,Planum Temporale,-0.4413309982929617,TL-O,MCI
ADNI,0,Postcentral Gyrus,-0.22975917036878032,PL,MCI
ADNI,0,Postcentral Gyrus Medial Segment,-0.07413047277990283,PL,MCI
ADNI,0,Posterior Cingulate Gyrus,-0.5473522445227406,Cing,MCI
ADNI,0,Posterior Insula,-0.48097116259340794,Ins,MCI
ADNI,0,Posterior Orbital Gyrus,-0.40428305482454013,FL,MCI
ADNI,0,Precentral Gyrus,-0.10423210057783025,FL,MCI
ADNI,0,Precentral Gyrus Medial Segment,0.031681502365510275,FL,MCI
ADNI,0,Precuneus,-0.3911463859688049,PL,MCI
ADNI,0,Putamen,-0.3024675210183231,BG,MCI
