lobe	comparison	est	stat	p	p.correct
TL-M	L-IL	0.008849172104909724	10461	3.894908191492655e-9	3.124614170207163e-8
OL	L-IL	-0.0010358504454541036	5065	6.156267333832419e-5	2.3086002501871572e-4
TL-O	L-IL	0.0029874745253201567	9917	1.0042264138753328e-6	4.303827488037141e-6
	L-IL	-6.436455434600682e-4	6370	0.1067117944096543	0.14551608328589222
FL	L-IL	-1.1128586615286604e-4	6925	0.5517181743555006	0.636597893487116
SC	L-IL	2.3589020928123892e-5	7263	0.9817084252473139	0.9817084252473139
Ins	L-IL	7.193619033897683e-4	8538	0.01820161069900824	0.03212048946883807
PL	L-IL	-5.677337731331562e-4	6286	0.07719127606936578	0.1102732515276654
Cing	L-IL	9.498849623901478e-4	9381	9.318101145431013e-5	3.1060337151436713e-4
BG	L-IL	0.0010905488188470702	10166	8.916940118712866e-8	4.4584700593564326e-7
TL-M	IL-IH	0.004562527201403711	7844	0.005071511329511544	0.009509083742834145
OL	IL-IH	1.588358677761094e-4	6658	0.6764578878911228	0.7247763084547745
TL-O	IL-IH	0.00418439946275292	9383	3.6899194546160056e-9	3.124614170207163e-8
	IL-IH	6.913532965313501e-4	7236	0.11417273454081149	0.14892095809671063
FL	IL-IH	3.5602930543853157e-4	7585	0.022513947167343937	0.03752324527890656
SC	IL-IH	6.188546626848417e-4	7899	0.003578987560391801	0.008224876110002801
Ins	IL-IH	-0.003196945478899185	3195	5.945655114208686e-11	1.7836965342626056e-9
PL	IL-IH	0.002167879677146157	9336	6.5136932763187805e-9	3.9082159657912685e-8
Cing	IL-IH	4.905806282979175e-4	7419	0.05144581735249324	0.08123023792498933
BG	IL-IH	-2.915531261687297e-4	5882	0.25374739959090303	0.3171842494886288
TL-M	IH-H	0.00953684541843046	12268	4.166152226942884e-9	3.124614170207163e-8
OL	IH-H	0.0010553145502782818	10569	0.0017939885101949712	0.004484971275487428
TL-O	IH-H	0.002188007211736655	10827	3.9899960456755474e-4	0.0011969988137026642
	IH-H	-0.0011136684083926155	6873	0.0041124380550014005	0.008224876110002801
FL	IH-H	7.823490872056619e-5	8876	0.7061587591120049	0.73050906115035
SC	IH-H	5.494690391645524e-4	10416	0.004049618650289662	0.008224876110002801
Ins	IH-H	2.851789120118148e-4	8964	0.6032587373199096	0.6702874859110107
PL	IH-H	0.0011644175501380517	10600	0.001510579518662286	0.004119762323624416
Cing	IH-H	-1.4461599927610992e-4	8243	0.5170976756813204	0.6205172108175844
BG	IH-H	-4.916726911131342e-4	7546	0.0753915609795662	0.1102732515276654
