
------------
SEX
PROGRESSION_CATEGORY,F,M,All
<2 years,30,33,63
<4 years,23,23,46
≥4 years,8,13,21
Censored,184,194,378
All,245,263,508

------------
APOE
PROGRESSION_CATEGORY,0,1,2,All
<2 years,22,21,9,52
<4 years,25,16,3,44
≥4 years,10,7,4,21
Censored,168,76,18,262
All,225,120,34,379

------------------------------
Age (yrs)
         <2 years    <4 years    ≥4 years    Censored
-----  ----------  ----------  ----------  ----------
count    63           46          21         378
mean     75.5397      77.0217     77.381      71.0608
std       7.99561     10.8924     10.0473     10.7451
min      59           38          56          27
25%      70.5         72.5        73          65
50%      76           79          78          73
75%      80           84          84          78.75
max      94           93          95          96


------------------------------
Education (yrs)
         <2 years    <4 years    ≥4 years    Censored
-----  ----------  ----------  ----------  ----------
count    63           46         21         378
mean     15.8254      14.9565    15.619      15.6931
std       3.07193      2.4491     2.45919     2.56191
min       8           10         12           8
25%      13           13         14          14
50%      16           15         16          16
75%      18           16         18          18
max      20           20         19          22


------------------------------
MMSE
         <2 years    <4 years    ≥4 years    Censored
-----  ----------  ----------  ----------  ----------
count    33          34          21         112
mean     25.3939     26.6765     27.2857     26.6518
std       2.41013     2.21182     1.64751     2.70372
min      21          21          23          17
25%      24          26          27          25
50%      25          27          27          28
75%      28          28          28          29
max      29          30          30          30


------------------------------
Aβ42 (pg/mL)
         <2 years    <4 years    ≥4 years    Censored
-----  ----------  ----------  ----------  ----------
count      6           3            3           9
mean     367.5       406          454         576.444
std       76.0072     90.5152     174.158     224.418
min      276         345          300         352
25%      315         354          359.5       436
50%      356         363          419         476
75%      430.75      436.5        531         674
max      460         510          643        1065


------------------------------
t-tau (pg/mL)
         <2 years    <4 years    ≥4 years    Censored
-----  ----------  ----------  ----------  ----------
count       6           3           3           9
mean      727         709.333     607.667     519.444
std       289.868     452.921     435.259     334.012
min       483         274         274         217
25%       570.75      475         361.5       283
50%       611         676         449         447
75%       772.75      927         774.5       565
max      1273        1178        1100        1225


------------------------------
p-tau (pg/mL)
         <2 years    <4 years    ≥4 years    Censored
-----  ----------  ----------  ----------  ----------
count     6            3           3           9
mean     60.5         78.6667     61.3333     56.8889
std       4.54973     55.4737     34.9333     31.4064
min      52           32          30          24
25%      59.75        48          42.5        35
50%      62           64          55          48
75%      63.5        102          77          71
max      64          140          99         127


------------
SEX
PROGRESSION_CATEGORY,F,M,All
<2 years,30,33,63
<4 years,23,23,46
≥4 years,8,13,21
Censored,184,194,378
All,245,263,508

------------
APOE
PROGRESSION_CATEGORY,0,1,2,All
<2 years,22,21,9,52
<4 years,25,16,3,44
≥4 years,10,7,4,21
Censored,168,76,18,262
All,225,120,34,379

------------------------------
Age (yrs)
         <2 years    <4 years    ≥4 years    Censored
-----  ----------  ----------  ----------  ----------
count    63           46          21         378
mean     75.5397      77.0217     77.381      71.0608
std       7.99561     10.8924     10.0473     10.7451
min      59           38          56          27
25%      70.5         72.5        73          65
50%      76           79          78          73
75%      80           84          84          78.75
max      94           93          95          96


------------------------------
Education (yrs)
         <2 years    <4 years    ≥4 years    Censored
-----  ----------  ----------  ----------  ----------
count    63           46         21         378
mean     15.8254      14.9565    15.619      15.6931
