contrast	Subtype	estimate	SE	df	z.ratio	p.value
Fusiform Gyrus - Accumbens	L	0.0838946660910925	0.014522204002910127	Inf	5.776992670966522	1.6312076598468117e-5
Fusiform Gyrus - Supplementary Motor Cortex	L	0.11513012959291155	0.01452220400291012	Inf	7.927868908179536	4.7628567756419216e-12
Fusiform Gyrus - Central Operculum	L	0.04520779542974282	0.014522204002910122	Inf	3.113012007039949	0.981239011245299
Fusiform Gyrus - Triangular Part of the Inferior Frontal Gyrus	L	0.06255674470890728	0.01452220400291012	Inf	4.307661887711498	0.03477158288161453
Fusiform Gyrus - Thalamus Proper	L	0.08164776983150013	0.01452220400291012	Inf	5.622271234802833	4.042450766816863e-5
Fusiform Gyrus - Putamen	L	0.11843637103195703	0.014522204002910122	Inf	8.155536928707477	7.144285163462882e-13
Fusiform Gyrus - Inferior Occipital Gyrus	L	0.014373431123374239	0.014522204002910124	Inf	0.9897554889391396	1
Fusiform Gyrus - Calcarine Cortex	L	0.06760235357316755	0.014522204002910117	Inf	4.6551028727885	0.006921861281552144
Fusiform Gyrus - Entorhinal Area	L	0.0019152079312484444	0.014522204002910117	Inf	0.13188135429475129	1
Fusiform Gyrus - Postcentral Gyrus	L	0.10858064609300284	0.014522204002910115	Inf	7.47687100878381	1.633659874045179e-10
Fusiform Gyrus - Middle Cingulate Gyrus	L	0.10093626551916464	0.01452220400291012	Inf	6.950478419042861	7.808941826503712e-9
Fusiform Gyrus - Medial Orbital Gyrus	L	0.054150833374937785	0.01452220400291011	Inf	3.728830235691943	0.33812252541665333
Fusiform Gyrus - (Cerebellar Vermal Lobules VI-VII)	L	0.13420561116473811	0.014522204002910124	Inf	9.241407925260138	0
Fusiform Gyrus - Cerebral White Matter	L	0.16913608001951821	0.014522204002910117	Inf	11.646722493749907	0
Fusiform Gyrus - Middle Occipital Gyrus	L	0.025309059488665863	0.01452220400291012	Inf	1.742783635568964	1
Fusiform Gyrus - Planum Polare	L	0.020104714742815555	0.014522204002910115	Inf	1.3844120864014	1
Fusiform Gyrus - (Cerebellar Vermal Lobules VIII-X)	L	0.12362668566704738	0.01452220400291012	Inf	8.512942363450733	0
Fusiform Gyrus - Parahippocampus Gyrus	L	0.010169290346163762	0.014522204002910129	Inf	0.7002580561549694	1
Fusiform Gyrus - Superior Frontal Gyrus Medial Segment	L	0.05782437770870548	0.014522204002910117	Inf	3.9817907596614126	0.13646313368770935
Fusiform Gyrus - Middle Frontal Gyrus	L	0.08307636978253254	0.014522204002910127	Inf	5.720644728987744	2.2762607147397418e-5
Fusiform Gyrus - Anterior Cingulate Gyrus	L	0.07772745757180782	0.014522204002910127	Inf	5.352318253911864	1.862426691524588e-4
Fusiform Gyrus - Precentral Gyrus	L	0.10068723527801693	0.01452220400291012	Inf	6.933330178934279	8.817000463068325e-9
Fusiform Gyrus - Orbital Part of the Inferior Frontal Gyrus	L	0.045805378944524286	0.014522204002910122	Inf	3.1541616503490304	0.9684244288581366
Fusiform Gyrus - Temporal Pole	L	0.010177278071653695	0.014522204002910124	Inf	0.7008080915000406	1
Fusiform Gyrus - Ventral DC	L	0.042168339601069756	0.014522204002910117	Inf	2.903714862607605	0.9996382672529942
Fusiform Gyrus - Inferior Temporal Gyrus	L	-0.0041125940003462055	0.014522204002910119	Inf	-0.2831935152213864	1
Fusiform Gyrus - Opercular Part of the Inferior Frontal Gyrus	L	0.07726589931664338	0.01452220400291012	Inf	5.320535319649826	2.219021485924122e-4
Fusiform Gyrus - Transverse Temporal Gyrus	L	0.04441988855835117	0.014522204002910113	Inf	3.0587566838649174	0.9915427485726727
Fusiform Gyrus - Planum Temporale	L	0.024317490860663298	0.01452220400291012	Inf	1.6745041493557238	1
Fusiform Gyrus - Precuneus	L	0.06115992924829947	0.014522204002910117	Inf	4.21147707579673	0.05296638727239811
Fusiform Gyrus - Brainstem	L	0.12733627730763822	0.014522204002910117	Inf	8.768385107530593	0
Fusiform Gyrus - Superior Parietal Lobule	L	0.09746514106923682	0.014522204002910117	Inf	6.711456542664302	4.133230835368096e-8
Fusiform Gyrus - Hippocampus	L	0.0016667666496893861	0.014522204002910122	Inf	0.1147736699853122	1
