Region	Subtype	lsmean	SE	df	asymp.LCL	asymp.UCL	rank	invrank
Cerebral White Matter	3	1.591282126852179	0.01253597558474485	Inf	1.5667120661950058	1.6158521875093523	1	66
Pallidum	3	1.5960315671081853	0.012535975584744853	Inf	1.571461506451012	1.6206016277653585	2	65
Caudate	3	1.609984620974796	0.012535975584744848	Inf	1.5854145603176228	1.6345546816319694	3	64
Cerebellar Vermal Lobules I-V	3	1.6126768762412245	0.01253597558474485	Inf	1.5881068155840512	1.6372469368983977	4	63
Postcentral Gyrus Medial Segment	3	1.6230523365123872	0.01253597558474485	Inf	1.598482275855214	1.6476223971695605	5	62
Hippocampus	3	1.758751440222008	0.012535975584744848	Inf	1.7341813795648346	1.7833215008791812	62	5
Occipital Fusiform Gyrus	3	1.7594487884984524	0.012535975584744846	Inf	1.7348787278412792	1.7840188491556257	63	4
Fusiform Gyrus	3	1.7604182068716974	0.01253597558476242	Inf	1.7358481462144897	1.784988267528905	64	3
Middle Temporal Gyrus	3	1.7614889320457099	0.012535975584744851	Inf	1.7369188713885366	1.7860589927028832	65	2
Inferior Temporal Gyrus	3	1.7645308008720435	0.012535975584744846	Inf	1.7399607402148702	1.7891008615292168	66	1
Triangular Part of the Inferior Frontal Gyrus	1	1.4780057455382178	0.017558891622315945	Inf	1.4435909503500366	1.512420540726399	1	66
Frontal Operculum	1	1.4811915321436147	0.017558891622315918	Inf	1.4467767369554334	1.515606327331796	2	65
Middle Frontal Gyrus	1	1.4909727576930805	0.01755889162231594	Inf	1.4565579625048992	1.5253875528812617	3	64
Medial Orbital Gyrus	1	1.4960181961157355	0.01755889162231593	Inf	1.4616034009275543	1.5304329913039167	4	63
Anterior Cingulate Gyrus	1	1.4961684466747884	0.017558891622315945	Inf	1.4617536514866072	1.5305832418629697	5	62
Brainstem	1	1.6737431650825612	0.017558891622315928	Inf	1.63932836989438	1.7081579602707424	62	5
Cerebellar Vermal Lobules VI-VII	1	1.6767550111537393	0.017558891622315945	Inf	1.642340215965558	1.7111698063419205	63	4
Pallidum	1	1.67703898268972	0.017558891622315914	Inf	1.6426241875015388	1.7114537778779013	64	3
Cerebellar Vermal Lobules I-V	1	1.6879775535567176	0.017558891622315914	Inf	1.6535627583685364	1.7223923487448989	65	2
Cerebellar Vermal Lobules VIII-X	1	1.6899735183441436	0.017558891622315935	Inf	1.6555587231559623	1.7243883135323248	66	1
Amygdala	0	1.4339195895214023	0.015261047626014696	Inf	1.404008485808063	1.4638306932347416	1	66
Entorhinal Area	0	1.440207435989357	0.015261047626014698	Inf	1.4102963322760178	1.4701185397026963	2	65
Fusiform Gyrus	0	1.4480263603216605	0.015261047626014502	Inf	1.4181152566083217	1.4779374640349994	3	64
Inferior Temporal Gyrus	0	1.4492576076270385	0.015261047626014695	Inf	1.4193465039136992	1.4791687113403778	4	63
Parahippocampus Gyrus	0	1.451149302518426	0.015261047626014696	Inf	1.4212381988050868	1.4810604062317654	5	62
Supplementary Motor Cortex	0	1.6181880626539473	0.015261047626014712	Inf	1.588276958940608	1.6480991663672866	62	5
Calcarine Cortex	0	1.6301790227722166	0.015261047626014698	Inf	1.6002679190588773	1.6600901264855559	63	4
Precentral Gyrus Medial Segment	0	1.6313295858770804	0.0152610476260147	Inf	1.6014184821637412	1.6612406895904197	64	3
Pallidum	0	1.643614196220481	0.015261047626014683	Inf	1.6137030925071418	1.6735252999338204	65	2
Cerebral White Matter	0	1.6579578782699405	0.015261047626014698	Inf	1.6280467745566012	1.6878689819832797	66	1
Calcarine Cortex	2	1.5435260272741926	0.018965770592612584	Inf	1.5063537999736232	1.580698254574762	1	66
Cerebellar Vermal Lobules VIII-X	2	1.575294241095817	0.01896577059261258	Inf	1.5381220137952476	1.6124664683963865	2	65
Occipital Pole	2	1.5909381397891749	0.018965770592612573	Inf	1.5537659124886054	1.6281103670897443	3	64
Optic Chiasm	2	1.5945981705444032	0.018965770592612573	Inf	1.5574259432438338	1.6317703978449727	4	63
Brainstem	2	1.5960048885894722	0.018965770592612577	Inf	1.5588326612889027	1.6331771158900417	5	62
Accumbens	2	1.7255617596359092	0.018965770592612573	Inf	1.6883895323353397	1.7627339869364786	62	5
Middle Frontal Gyrus	2	1.7348540562793282	0.018965770592612567	Inf	1.6976818289787587	1.7720262835798977	63	4
Caudate	2	1.7354136501419941	0.018965770592612573	Inf	1.6982414228414247	1.7725858774425636	64	3
Anterior Cingulate Gyrus	2	1.7373268362835343	0.018965770592612573	Inf	1.7001546089829649	1.7744990635841038	65	2
Middle Cingulate Gyrus	2	1.740282391760404	0.018965770592612567	Inf	1.7031101644598345	1.7774546190609735	66	1
