contrast	Cluster	estimate	SE	df	z.ratio	p.value
cingulate - frontal	0	-1.3311834943595378	0.3166154730421927	Inf	-4.204417053812598	5.495435419021755e-4
cingulate - insula	0	-0.183136731618839	0.34193067022654583	Inf	-0.5355960946629968	0.9999999934151204
cingulate - mesial_temp	0	-2.1083043840592146	0.31799363108343615	Inf	-6.630020786504467	7.048425176847672e-10
cingulate - occipital	0	-0.18852471499826245	0.3357308569355211	Inf	-0.5615352628563112	0.9999999838440208
cingulate - parietal	0	-3.509699642484223	0.3160468132586028	Inf	-11.104999307847597	0
cingulate - temporal_lobe_other	0	-1.5648886829089588	0.32112237777043096	Inf	-4.873184777012616	2.306056594492123e-5
frontal - insula	0	1.1480467627406987	0.3207638309196868	Inf	3.579102916463633	0.007215381000313048
frontal - mesial_temp	0	-0.7771208896996769	0.2904680595811459	Inf	-2.6754090994386197	0.1455761511689505
frontal - occipital	0	1.1426587793612752	0.31428432885084323	Inf	3.6357485068992155	0.005804562425709814
frontal - parietal	0	-2.178516148124685	0.28488248019872936	Inf	-7.647069579726306	4.313216450668733e-13
frontal - temporal_lobe_other	0	-0.23370518854942102	0.29529770813250655	Inf	-0.7914222904992964	0.9999921623311172
insula - mesial_temp	0	-1.9251676524403756	0.3215081316990628	Inf	-5.98792833719791	4.463143754573906e-8
insula - occipital	0	-0.00538798337942345	0.34025123068989355	Inf	-0.015835309011223184	1
insula - parietal	0	-3.326562910865384	0.31898064726868985	Inf	-10.42872957763889	0
insula - temporal_lobe_other	0	-1.3817519512901197	0.3248234981013775	Inf	-4.253854660659047	4.411628882170504e-4
mesial_temp - occipital	0	1.919779669060952	0.31535652921780727	Inf	6.0876483953659255	2.4062042469630285e-8
mesial_temp - parietal	0	-1.4013952584250084	0.2806854644930007	Inf	-4.9927603517208645	1.2499628775586302e-5
mesial_temp - temporal_lobe_other	0	0.5434157011502558	0.2936157968635958	Inf	1.85077133776528	0.7517896308537888
occipital - parietal	0	-3.3211749274859605	0.313090162773431	Inf	-10.607726854354548	0
occipital - temporal_lobe_other	0	-1.3763639679106963	0.3188271540534862	Inf	-4.316959676777714	3.3215284360677e-4
parietal - temporal_lobe_other	0	1.9448109595752643	0.2877213606063686	Inf	6.759355494067606	2.910744978379398e-10
cingulate - frontal	1	-1.5115551646783205	0.29583933020307196	Inf	-5.109378674028058	6.78759736605361e-6
cingulate - insula	1	-0.04208563706939286	0.32042833543977883	Inf	-0.13134180849403196	1
cingulate - mesial_temp	1	-1.6987667755488542	0.298381763995224	Inf	-5.693266079008922	2.617270187244003e-7
cingulate - occipital	1	-0.14804452087478048	0.3067974348800484	Inf	-0.4825481051778119	0.9999999991156904
cingulate - parietal	1	-2.8228874496488245	0.29615930221572695	Inf	-9.531652149803454	0
