contrast	estimate	SE	df	t.ratio	p.value
(BG -0.18402685373219) - (Cing -0.18402685373219)	0.0017895988686834887	9.723527149681074e-4	54.93704517172966	1.84048323322899	0.7071351006049974
(BG -0.18402685373219) - (FL -0.18402685373219)	4.2669397629351957e-4	6.942540675116325e-4	53.99889415167812	0.6146078161599969	0.999794733266933
(BG -0.18402685373219) - (Ins -0.18402685373219)	3.212202787454601e-4	0.0010971077847152498	53.89890763691155	0.2927882594770136	0.9999996501016077
(BG -0.18402685373219) - (OL -0.18402685373219)	-4.028127487962316e-4	7.90625307063121e-4	57.46922569318814	-0.5094862828164851	0.9999578165738285
(BG -0.18402685373219) - (Other -0.18402685373219)	-9.670329307104916e-5	8.566831214911474e-4	61.95394923007299	-0.11288105326824563	0.9999999999313929
(BG -0.18402685373219) - (PL -0.18402685373219)	5.625487274397009e-4	8.184009683734553e-4	54.052369834972524	0.6873754420864724	0.99948907886698235
(BG -0.18402685373219) - (SC -0.18402685373219)	9.263805510428877e-4	8.962354545785964e-4	53.977738406620595	1.0336352420675716	0.9887034718671197
(BG -0.18402685373219) - (TL-M -0.18402685373219)	0.0034117817214306123	9.030224605929316e-4	55.63574298390653	3.778180355769235	0.013062341538025435
(BG -0.18402685373219) - (TL-O -0.18402685373219)	0.0017233033852866839	7.778344100825798e-4	54.46016633129108	2.2155144629095633	0.45913550218222576
(Cing -0.18402685373219) - (FL -0.18402685373219)	-0.0013629048923899693	7.900577505410191e-4	55.440512643993465	-1.725069960337296	0.7766039480373346
(Cing -0.18402685373219) - (Ins -0.18402685373219)	-0.0014683785899380288	0.0011601069046498654	54.57016132250433	-1.2657269636553052	0.9570372140466754
(Cing -0.18402685373219) - (OL -0.18402685373219)	-0.0021924116174797206	8.759514342143311e-4	58.05596597153222	-2.5028917492967686	0.2887016902140943
(Cing -0.18402685373219) - (Other -0.18402685373219)	-0.001886302161754538	9.360066824447916e-4	61.752835234572814	-2.015265699629017	0.5919598967976861
(Cing -0.18402685373219) - (PL -0.18402685373219)	-0.0012270501412437879	9.011008178711737e-4	55.14783773832887	-1.3617234796686353	0.9335206285829002
(Cing -0.18402685373219) - (SC -0.18402685373219)	-8.632183176406011e-4	9.723376620172605e-4	54.92647384146224	-0.8877762852975633	0.9962607759274344
(Cing -0.18402685373219) - (TL-M -0.18402685373219)	0.0016221828527471236	9.78597007592401e-4	56.35506233578239	1.6576617751346987	0.8135718650798284
(Cing -0.18402685373219) - (TL-O -0.18402685373219)	-6.629548339680497e-5	8.644240327767409e-4	55.58396081568574	-0.0766932441522336	0.9999999999979028
(FL -0.18402685373219) - (Ins -0.18402685373219)	-1.0547369754805949e-4	9.393438870652691e-4	53.870700384399505	-0.11228443491295194	0.9999999999322693
(FL -0.18402685373219) - (OL -0.18402685373219)	-8.295067250897512e-4	5.511894620298365e-4	61.50548950268392	-1.5049393760812668	0.8850584512666528
(FL -0.18402685373219) - (Other -0.18402685373219)	-5.233972693645687e-4	6.423608156884277e-4	69.33331636269337	-0.8148026102800745	0.9981221427680013
(FL -0.18402685373219) - (PL -0.18402685373219)	1.3585475114618136e-4	5.903402340334726e-4	54.122458125616554	0.23012958174637702	0.999999958592536
(FL -0.18402685373219) - (SC -0.18402685373219)	4.996865747493682e-4	6.94232984615244e-4	53.978576078394696	0.7197678384963272	0.9992607924669115
(FL -0.18402685373219) - (TL-M -0.18402685373219)	0.002985087745137093	7.029729804333866e-4	56.75169244616734	4.246376216759812	0.003026968947065778
(FL -0.18402685373219) - (TL-O -0.18402685373219)	0.0012966094089931644	5.326798441771577e-4	55.01494348790645	2.434125156351777	0.3266718542628779
(Ins -0.18402685373219) - (OL -0.18402685373219)	-7.240330275416917e-4	0.0010126532496758686	55.96285044290841	-0.7149861295299661	0.999303965628134
(Ins -0.18402685373219) - (Other -0.18402685373219)	-4.1792357181650924e-4	0.001065027792387719	58.857659159643504	-0.3924062590700599	0.9999955444393935
(Ins -0.18402685373219) - (PL -0.18402685373219)	2.4132844869424085e-4	0.001034484592898827	53.926536230315584	0.23328375342738705	0.9999999532232289
(Ins -0.18402685373219) - (SC -0.18402685373219)	6.051602722974276e-4	0.0010970944434979815	53.89078840823195	0.5516027137717803	0.9999164311339925
(Ins -0.18402685373219) - (TL-M -0.18402685373219)	0.0030905614426851523	0.0011026458145051634	54.99373256420697	2.8028596327390134	0.16108685389703492
(Ins -0.18402685373219) - (TL-O -0.18402685373219)	0.001402083106541224	0.0010026986573337764	54.16252063190407	1.3983095482240195	0.9225175579050782
(OL -0.18402685373219) - (Other -0.18402685373219)	3.0610945572518246e-4	7.454710480254149e-4	69.91780257479441	0.41062554546685287	0.9999936265942031
(OL -0.18402685373219) - (PL -0.18402685373219)	9.653614762359325e-4	7.0114282270512e-4	58.56134169940184	1.3768399889075595	0.9294460085179443
(OL -0.18402685373219) - (SC -0.18402685373219)	0.0013291932998391195	7.906067940765482e-4	57.45236249391603	1.6812318206696617	0.8011175705537924
(OL -0.18402685373219) - (TL-M -0.18402685373219)	0.003814594470226844	7.982923506658491e-4	59.702642542711025	4.778442968976368	4.7591261566359844e-4
(OL -0.18402685373219) - (TL-O -0.18402685373219)	0.0021261161340829157	6.533356582223329e-4	59.946258260263704	3.254247808649975	0.05425697400193841
(Other -0.18402685373219) - (PL -0.18402685373219)	6.5925202051075e-4	7.748669900764034e-4	64.031122394798075	0.8507937864868221	0.9973524592866176
(Other -0.18402685373219) - (SC -0.18402685373219)	0.0010230838441139369	8.566660360485638e-4	61.93823006784671	1.1942621757633671	0.9705803185548149
(Other -0.18402685373219) - (TL-M -0.18402685373219)	0.0035084850145016616	8.637640138433464e-4	63.98154909870227	4.061855967917142	0.00494505282715918
(Other -0.18402685373219) - (TL-O -0.18402685373219)	0.0018200066783577331	7.318914378403199e-4	66.00329257699545	2.486716723628091	0.2946980043232078
(PL -0.18402685373219) - (SC -0.18402685373219)	3.638318236031868e-4	8.183830837119939e-4	54.03773060947535	0.444573978671371	0.9999866361471592
(PL -0.18402685373219) - (TL-M -0.18402685373219)	0.0028492329939909114	8.258101755231414e-4	56.03020939582761	3.4502275201270733	0.033010363380584495
(PL -0.18402685373219) - (TL-O -0.18402685373219)	0.001160754657846983	6.866871566956558e-4	54.68436612952797	1.6903689642784991	0.79590669582553
(SC -0.18402685373219) - (TL-M -0.18402685373219)	0.0024854011703877247	9.030062519200273e-4	55.62330296316357	2.752363192506267	0.17882029040322134
(SC -0.18402685373219) - (TL-O -0.18402685373219)	7.969228342437962e-4	7.778155926566772e-4	54.44381647110343	1.0245652591276257	0.9893934169351997
(TL-M -0.18402685373219) - (TL-O -0.18402685373219)	-0.0016884783361439286	7.856262918662202e-4	56.665170300770136	-2.1492131228615374	0.5022550814461272
