contrast,estimate,SE,df,t.ratio,p.value
BG - Cing,-0.002770832735605307,0.0023380261244743614,226.13367751647746,-1.185116242543376,0.9739908886978663
BG - FL,-0.001461460714655798,0.0019328595195009836,235.9330303237747,-0.7561132611609099,0.9990630629915069
BG - Ins,0.002618649778568347,0.002795520048648695,212.910096462052,0.936730816806038,0.9950643717920103
BG - OL,-8.563610035949631e-4,0.002039285389183406,237.25441698237807,-0.41993190758743043,0.9999932566203024
BG - Other,0.002661768837764219,0.00244381967803397,233.03052457895646,1.0891838140470278,0.9853746496755393
BG - PL,-0.003413049082601757,0.00215007217416668,234.08483369989784,-1.5874114011659068,0.8531050427133807
BG - SC,-0.0031963110829942337,0.002335795723531607,242.71302165315154,-1.3684035169657605,0.9356259166940404
BG - (TL-M),-0.016637410083489252,0.002109680372603268,229.52689560964146,-7.8862230978426835,5.7239768480599196e-12
BG - (TL-O),-0.009359065175639943,0.001993946713094995,232.63108394298487,-4.693738861813838,1.950994264563466e-4
Cing - FL,0.001309372020949509,0.0016038303939508792,202.80062000991984,0.8164030472848187,0.9982700272495392
Cing - Ins,0.005389482514173654,0.0025790033642536917,192.35571199070407,2.089753968092731,0.5370102443032245
Cing - OL,0.0019144717320103439,0.001730609981761337,211.61832781498714,1.1062410087695673,0.9836555165973648
Cing - Other,0.005432601573369526,0.002192847607377475,237.23478437529525,2.4774186564959786,0.2861459503150462
Cing - PL,-6.422163469964499e-4,0.0018598753626415116,208.79911042114313,-0.3453007442844632,0.9999987681430279
Cing - SC,-4.254783473889266e-4,0.0020717788666997266,234.3022006466179,-0.20536861063106565,0.9999999877705321
Cing - (TL-M),-0.013866577347883945,0.0018130298632351657,198.05268151680002,-7.648289545071509,3.9048209110603693e-11
Cing - (TL-O),-0.006588232440034637,0.0016769464824786132,198.54118180225154,-3.9287076295344203,0.004540155189276862
FL - Ins,0.004080110493224145,0.002218296219226105,190.61813622762884,1.8392992143527025,0.7093437659891035
FL - OL,6.050997110608349e-4,0.0011245402048717273,228.6092639323529,0.538086329363259,0.9999432818957965
FL - Other,0.004123229552420017,0.0017544686923915429,188.1993620976616,2.3501300252896393,0.36219451228011823
FL - PL,-0.001951588367945959,0.0013148064982961816,219.51196274836616,-1.4843160346978541,0.8971254580024731
FL - SC,-0.0017348503683384357,0.0016005772196006592,243.97811730523622,-1.0838904534523348,0.9858847232833011
FL - (TL-M),-0.015175949368833454,0.0012476606302931487,198.92030101501996,-12.1635234777487,8.693046282814976e-14
FL - (TL-O),-0.007897604460984146,0.0010400621464597038,200.56383903667805,-7.593396690637208,5.2103543701775834e-11
Ins - OL,-0.0034750107821633104,0.0023116178517748505,196.7856620159424,-1.5032808210471345,0.8895310419156601
Ins - Other,4.311905919587161e-5,0.00267528443587842,241.98754233377102,0.016117560666671176,1
Ins - PL,-0.006031698861170104,0.002409917539716472,196.2187077926326,-2.5028652481942335,0.27350607332482524
Ins - SC,-0.005814960861562581,0.0025769815397429226,217.35954266078915,-2.256500782750146,0.4218397188369104
Ins - (TL-M),-0.019256059862057598,0.0023739510249065217,189.35099161898148,-8.1113972697966,2.8385072070591377e-12
Ins - (TL-O),-0.011977714954208291,0.0022717208650645426,188.81568432806725,-5.272529357988701,1.601435466458412e-5
OL - Other,0.003518129841359182,0.0018710690444217798,198.98604832729137,1.8802779362139448,0.6823379868777211
OL - PL,-0.002556688079006794,0.0014667839324089993,227.01465235260503,-1.7430570532687597,0.7695557821611952
OL - SC,-0.0023399500793992705,0.0017275955580852594,243.967670169684,-1.354454790328762,0.9394657985952832
OL - (TL-M),-0.015781049079894287,0.0014069100983342324,213.12970379493566,-11.216814136581217,8.348877145181177e-14
OL - (TL-O),-0.00850270417204498,0.0012265676682962534,218.37150401293675,-6.932111771587411,2.0703039282921054e-9
Other - PL,-0.006074817920365976,0.001991237008641199,216.658356805512,-3.0507759217027473,0.07539709000167649
Other - SC,-0.0058580799207584525,0.0021904693863473786,208.70647171350677,-2.6743491405405293,0.19114934235252756
Other - (TL-M),-0.01929917892125347,0.001947553784880916,220.5309446551376,-9.909445927026619,2.1271873151818e-13
Other - (TL-O),-0.012020834013404163,0.0018215482329927064,203.42366425860766,-6.599240028716986,1.5741387082712777e-8
PL - SC,2.1673799960752332e-4,0.0018570707762238998,242.33401996600753,0.11670960653865357,0.9999999999225826
PL - (TL-M),-0.013224361000887495,0.001563176727175708,208.87339924955134,-8.459927000564292,2.2593038551121936e-13
PL - (TL-O),-0.005946016093038187,0.0014030658218696038,212.04084333337065,-4.237873947435368,0.0013653557605785016
SC - (TL-M),-0.013441099000495019,0.001810152697516557,239.41391476394875,-7.425395116630527,8.84153861235859e-11
SC - (TL-O),-0.00616275409264571,0.0016738354185646025,242.58775623429378,-3.681816040152012,0.010495827132879776
(TL-M) - (TL-O),0.007278344907849309,0.0013403486937809347,192.68551797151702,5.43018763820191,7.406767620676824e-6
