Cortex,GMV.trend,SE,df,lower.CL,upper.CL
BG,-3.873123419282635e-4,0.0018207196583067836,237.87787194169107,-0.0039741058502976495,0.0031994811664411227
Cing,0.0023835203936770437,0.0014667467690708679,200.58923146552095,-5.087003044735904e-4,0.005275741091827678
FL,0.0010741483727275346,6.487879838443385e-4,213.71011591205772,-2.04694790877247e-4,0.0023529915363323163
Ins,-0.0030059621204966106,0.0021212996648875496,188.3770667382954,-0.007190516566869143,0.0011785923258759222
OL,4.6904866166669963e-4,9.185122886451463e-4,234.54583545547155,-0.0013405397777814358,0.0022786371011148353
Other,-0.003049081179692482,0.0016301026178131505,164.83716992978995,-0.006267653658114821,1.6949129872985674e-4
PL,0.0030257367406734937,0.0011435865861320093,221.29607028598568,7.720229063815092e-4,0.005279450574965478
SC,0.0028089987410659704,0.0014631888421949416,243.01887784239597,-7.31520554262564e-5,0.005691149537558197
TL-M,0.016250097741560988,0.0010657069017336307,193.2010937737601,0.014148184065691911,0.018352011417430064
TL-O,0.008971752833711679,8.128981612216643e-4,191.79849808996877,0.007368384668983298,0.01057512099844006
